show,artist
1,Mika Taanila
1,Erkki Kurenniemi
2,Susan Collins
2,Igloo
2,Lorie Novak
2,Neil C Smith
3,Jess Loseby
4,Elisabeth Penker
6,boredomresearch
7,Emily Druiff
8,Stanza
9,Lucas Bambozzi
10,Andy Deck
11,Marcus Kirsch
11,Jussi Angesleva
12,Michael Mateas
12,Andrew Stern
12,Jetro Lauha
12,Julian Oliver
12,Kenta Cho
12,Mary Flanagan
12,Low Brow Trash
12,Paul Granjon
12,Simon Poulter
12,Giles Askham
12,Jakub Dvorsky
12,Long Journey Home
12,PRU
12,Q Club
12,Furtherfield
12,Tale of Tales
13,netbehaviour
14,Axel Stockburger
14,TheGhost
14,Corrado Morgana
14,Ziga Hajdukovic
14,Progress Quest
14,JODI
15,Richard Wright
16,Jeremy Bailey
17,Doron Golan
17,Michael Szpakowski
18,Kate Rich
19,Alan Sondheim
19,Alessandro Ludovico
19,Andreas Jacobs
19,Andrei Tisma
19,Annie Abrahams
19,Antonio Dias
19,Antonio Roberts
19,Arn
19,Bob Catchpole
19,Brian Gibson
19,Crowe
19,Curt Cloninger
19,Dan Walwin
19,Dave Miller
19,Dion Laurent
19,Dougald Hine
19,Edward Picot
19,Fung-Lin Hall
19,Helen Varley Jamieson
19,Karen Blissett
19,James Morris
19,John Criscitello
19,J. Trautwein
19,Lauren A Wright
19,Lucille C.
19,Maja Kalogera
19,Manik
19,Marc Garrett
19,Mark Cooley
19,Mark Hancock
19,Mez Breeze
19,Michael Szpakowski
19,Neil Jenkins
19,Olga Panades
19,Pall Thayer
19,Peter Gomes
19,Pim Peterse
19,Renee Turner
19,Paulo R. C. Barros
19,Riccardo Mantelli
19,Rob Myers
19,Ruth Catlow
19,Simon Biggs
19,Simon Longo
19,Steven Read
19,Stuart
19,Valentin J.-A.
19,Vittore Baroni
19,Wolfgang Spaeth
20,Annie Abrahams
21,IOCOSE
22,Art is Open Source
23,Scott Kildall
23,Nathaniel Stern
24,Annie Abrahams
24,Karen Blissett
24,Ele Carpenter
24,Emilie Giles
24,moddr_
24,Liz Sterry
24,Thomson and Craighead
25,Class Wargames
25,Donkor
25,The Hexists
25,Oldfield Ford
25,IOCOSE
25,Miller
25,Picot
25,Massanet and Aston
25,YoHa
26,Paula Crutchlow
26,Helen Varley Jamieson
26,Andy Deck
26,Mary Flanagan
26,Genetic Moo
26,Dominic Smith
26,Sarah Waterson
27,curated by Kerry Baldry
28,Bureau of Inverse Technology
28,Lawrence Bird
28,Patrick Lichty
28,Dave Miller
28,Gavin Stewart
28,The Force of Freedom
28,Dave Young
29,Alma Alloro
29,Melissa Barron
29,Nick Briz
29,Benjamin Gaulon
29,José Irion Neto
29,Antonio Roberts
29,Ant Scott
31,King's College Graduate Students
31,Erica Scourti
33,curated by Kerry Baldry
34,James Cauty
34,van Roth
34,Jaime Ruelas
34,Polymarchs
34,Geraldine Juárez
35,Ivan Puig
35,Andrés Padilla Domene
36,Erica Scourti
36,Jennifer Chan
36,Branger_Briz
36,Julian Oliver
36,Mez Breeze
36,Heath Bunting
36,Pierre Proske
36,Genetic Moo
36,Zach Blas
37,UK TOUR 2014
38,curated by Kerry Baldry
